CAMIS,DBA,BORO,STREET,CUISINE DESCRIPTION,INSPECTION DATE,CRITICAL FLAG,SCORE,Latitude,Longitude,year
50034496,HERBALIFE,Bronx,MELROSE AVENUE,Other,2018-05-07,Not Critical,4.0,40.81789072144,-73.916929212149,2018
50106684,FROZEN D LITE,Bronx,BAYCHESTER AVENUE,Frozen Desserts,2021-12-22,Not Critical,7.0,40.865905409786,-73.830429747919,2021
50112288,LA FINCA BAR & GRILL,Bronx,EAST  165 STREET,Spanish,2021-12-09,Critical,14.0,40.823930164063,-73.894722120026,2021
41611253,DUNKIN,Bronx,ALLERTON AVENUE,Donuts,2019-12-13,Not Critical,3.0,40.865494332101,-73.859376287689,2019
41611253,DUNKIN,Bronx,ALLERTON AVENUE,Donuts,2019-12-13,Not Critical,3.0,40.865494332101,-73.859376287689,2019
50002478,VILLA TAPIA RESTAURANT,Bronx,BROOK AVENUE,Latin American,2019-07-23,Critical,33.0,40.807884878738996,-73.919029674458,2019
40883581,SHEAS EMERALD,Bronx,JEROME AVENUE,Bottled Beverages,2022-03-21,Not Critical,10.0,40.872825573332,-73.88960388116,2022
50088490,COCINA MARAVILLA,Bronx,EAST  138 STREET,Mexican,2019-03-27,Not Critical,,40.807099259478996,-73.918152848368,2019
41690532,KINGSBRIDGE DONUT SHOP,Bronx,WEST  231 STREET,American,2019-07-25,Critical,68.0,40.879751741296,-73.906454907184,2019
41227842,NICKY'S COFFEE SHOP,Bronx,BAINBRIDGE AVENUE,American,2018-07-23,Critical,29.0,40.874624078425995,-73.879382152008,2018
40388269,WHITE CASTLE,Bronx,BOSTON ROAD,Hamburgers,2022-01-13,Critical,12.0,40.880015785102,-73.841781248013,2022
50018734,ASIAN TOKYO JAPANESE CUISINE,Bronx,MANHATTAN COLLEGE PARKWAY,Japanese,2019-12-09,Critical,19.0,40.890871942287,-73.898319355505,2019
50012283,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Bronx,WHITE PLAINS ROAD,Caribbean,2017-03-09,Not Critical,2.0,40.865742587404,-73.867337062165,2017
50091874,DOMINO'S,Bronx,WESTCHESTER AVENUE,Pizza,2019-07-16,Critical,12.0,40.833665851653,-73.856740744663,2019
50044824,SUBWAY,Bronx,EAST  161 STREET,Sandwiches,2019-11-20,Not Critical,16.0,40.827412033017,-73.924595739271,2019
41121169,KLASSIQUE,Bronx,BOSTON ROAD,Caribbean,2019-10-10,Critical,32.0,40.881462794099,-73.838222922634,2019
50071470,PRIMA PIZZA,Bronx,EAST  233 STREET,Pizza,2019-05-29,Not Critical,18.0,40.890903489495,-73.849495317655,2019
41011367,MEXICANA DELI GROCERY,Bronx,EAST  204 STREET,Mexican,2018-02-20,Critical,9.0,40.872215318406,-73.877835343375,2018
41178943,GOLDEN PALACE CHINESE RESTAURANT,Bronx,CASTLE HILL AVENUE,Chinese,2017-10-17,Not Critical,25.0,40.820738406237,-73.848418963398,2017
41612730,PAPA YE RESTAURANT,Bronx,MCCLELLAN STREET,African,2019-06-21,Critical,27.0,40.832644305218004,-73.917756321238,2019
41612730,PAPA YE RESTAURANT,Bronx,MCCLELLAN STREET,African,2019-06-21,Critical,27.0,40.832644305218004,-73.917756321238,2019
50017419,MOTT HAVEN BAR & GRILL,Bronx,3 AVENUE,American,2019-07-01,Critical,32.0,40.808633427586,-73.930422173136,2019
41384857,TONY'S PIZZA,Bronx,WHITE PLAINS ROAD,Pizza,2020-01-09,Critical,9.0,40.893309738664996,-73.857425529889,2020
50015603,LA NUEVA WIN HING RESTAURANT,Bronx,EAST  167 STREET,Chinese,2019-02-27,Not Critical,26.0,40.835638397991,-73.921073726017,2019
50107423,JUICY KING CRAB EXPRESS,Bronx,WILLIS AVENUE,Seafood,2021-12-01,Critical,41.0,40.815177240847,-73.918424668128,2021
50067950,MAMA G AFRICAN KITCHEN,Bronx,EAST GUN HILL ROAD,African,2017-10-31,Critical,12.0,40.871276498522,-73.84782964447099,2017
41633715,IHOP,Bronx,WHITE PLAINS ROAD,Pancakes/Waffles,2018-05-16,Critical,13.0,40.826588257592,-73.85985629674501,2018
41640824,RICURAS ECUADORIAN BAKERY,Bronx,WATSON AVENUE,Spanish,2019-07-29,Not Critical,11.0,40.826351628305,-73.876066230043,2019
50034221,AA CHINESE RESTAURANT,Bronx,EAST BURNSIDE AVENUE,Chinese,2018-10-16,Critical,29.0,40.852046429583,-73.903128701996,2018
50043155,JUICE RITE,Bronx,BUHRE AVENUE,"Juice, Smoothies, Fruit Salads",2017-09-12,Critical,33.0,40.8474916988,-73.830921452111,2017
50063658,KENNEDY FRIED CHICKEN,Bronx,OGDEN AVENUE,Chicken,2019-04-30,Critical,16.0,40.834594736415,-73.92844708891,2019
50033234,LEE'S KITCHEN,Bronx,BURKE AVENUE,Chinese,2019-11-13,Not Critical,12.0,40.871356008087,-73.86303748933899,2019
50033234,LEE'S KITCHEN,Bronx,BURKE AVENUE,Chinese,2019-11-13,Not Critical,12.0,40.871356008087,-73.86303748933899,2019
50013172,RIVERDALE PIE GUYS,Bronx,MOSHOLU AVENUE,Pizza,2019-04-24,Not Critical,11.0,40.905423979076,-73.89779776985,2019
50080220,DOUBLE DRAGON,Bronx,JEROME AVENUE,Chinese,2021-09-01,Critical,16.0,40.866948466203,-73.89781374435199,2021
40394770,WEMBLEY ATHLETIC CLUB,Bronx,EAST  239 STREET,American,2018-06-16,Critical,18.0,40.901784816409,-73.85692615797,2018
50081726,KENNEDY FRIED CHICKEN & PIZZERIA,Bronx,LONGWOOD AVENUE,Chicken,2019-03-20,Not Critical,23.0,40.817582115183,-73.898373962117,2019
41604710,LITTLE CAESARS,Bronx,DECATUR AVENUE,Pizza,2021-08-16,Not Critical,3.0,40.862065366857,-73.891577680731,2021
41604710,LITTLE CAESARS,Bronx,DECATUR AVENUE,Pizza,2021-08-16,Not Critical,3.0,40.862065366857,-73.891577680731,2021
40666155,LOESER'S KOSHER DELI & CATERER,Bronx,WEST  231 STREET,Sandwiches,2019-10-28,Not Critical,19.0,40.879157931001004,-73.905294940359,2019
41678734,TINY'S DINER,Bronx,RIVERDALE AVENUE,American,2018-08-30,Not Critical,12.0,40.886690890724,-73.90705631531999,2018
41678734,TINY'S DINER,Bronx,RIVERDALE AVENUE,American,2018-08-30,Not Critical,12.0,40.886690890724,-73.90705631531999,2018
41678734,TINY'S DINER,Bronx,RIVERDALE AVENUE,American,2018-08-30,Not Critical,12.0,40.886690890724,-73.90705631531999,2018
50039227,STARBUCKS,Bronx,EAST  161 STREET,Coffee/Tea,2021-10-26,Critical,32.0,40.82567890691,-73.918816433455,2021
50056609,HUNG HING CHINESE RESTAURANT,Bronx,BEDFORD PARK BOULEVARD,Chinese,2018-03-15,Not Critical,11.0,40.871137441597,-73.886656218497,2018
50018680,KATONAH PIZZA,Bronx,KATONAH AVENUE,Pizza,2018-02-08,Critical,11.0,40.898791932156,-73.86742638732099,2018
41128245,EL VALLE RESTAURANT,Bronx,JEROME AVENUE,Latin American,2017-11-30,Critical,22.0,40.862260901034006,-73.901454345806,2017
