CAMIS,DBA,BORO,STREET,CUISINE DESCRIPTION,INSPECTION DATE,CRITICAL FLAG,SCORE,Latitude,Longitude,year
50087243,LOS SAZONES LATINO,Bronx,WOODYCREST AVENUE,Latin American,2020-02-06,Critical,21.0,40.833523562859,-73.927291853088,2020
40980061,JOHN'S LUNCHEONETTE,Bronx,EAST GUN HILL ROAD,American,2020-02-26,Critical,12.0,40.878836161161,-73.873281183244,2020
41368569,TITA'S DONUTS AND COFFEE SHOP,Bronx,GRAND CONCOURSE,Bakery Products/Desserts,2019-03-19,Not Critical,4.0,40.850099609082,-73.905459370419,2019
50043897,GOLDEN RING,Bronx,WHITE PLAINS ROAD,Caribbean,2018-01-03,Critical,11.0,40.896735512205,-73.855515516988,2018
41678706,TITOS EMPANADAS Y MAS,Bronx,JEROME AVENUE,Latin American,2017-05-02,Critical,13.0,40.836575058499996,-73.922106183777,2017
41377474,BACK HOME II RESTAURANT,Bronx,EAST  169 STREET,Caribbean,2018-11-02,Critical,11.0,40.831126261897005,-73.900181674732,2018
50011521,TCR CAFE,Bronx,NETHERLAND AVENUE,American,2017-12-04,Critical,29.0,40.878737837889,-73.915677632445,2017
50052226,LITTLE NEGRIL JAMAICAN CUISINE,Bronx,BOSTON ROAD,Caribbean,2019-07-11,Critical,23.0,40.876579180186,-73.847727059736,2019
41675163,DUNKIN,Bronx,EAST  138 STREET,Donuts,2021-08-20,Not Critical,7.0,40.809991403134,-73.92499124591501,2021
50047924,XIN HI CHINESE BUFFETT,Bronx,BARTOW AVENUE,Chinese,2018-01-29,Not Critical,13.0,40.869473385753004,-73.828460908824,2018
50047924,XIN HI CHINESE BUFFETT,Bronx,BARTOW AVENUE,Chinese,2018-01-29,Not Critical,13.0,40.869473385753004,-73.828460908824,2018
40387528,WALNUT BUS STOP,Bronx,EAST  134 STREET,American,2019-03-07,Critical,25.0,40.800344346174995,-73.910670067703,2019
50013405,WAH YONG KITCHEN,Bronx,WEST  168 STREET,Chinese,2021-05-06,Not Critical,,40.838300394958,-73.92456528066,2021
50072314,CARVEL,Bronx,EAST  233 STREET,Frozen Desserts,2019-03-14,Not Critical,12.0,40.890515006838996,-73.848371363329,2019
50087439,ANGELS CAFE,Bronx,EAST  187 STREET,Latin American,2019-03-27,Critical,47.0,40.853729430081,-73.882995256714,2019
50058345,KING'S CHEF CHINESE RESTAURANT,Bronx,PROSPECT AVENUE,Chinese,2017-09-22,Critical,12.0,40.825847145505,-73.899062272294,2017
50117757,,Bronx,SOUTHERN BOULEVARD,,1900-01-01,Not Applicable,,40.810315704495004,-73.906823811075,1900
50005649,NPR FOOD SOLUTIONS,Bronx,WILLIAMSBRIDGE ROAD,American,2021-08-09,Critical,21.0,40.846745228997996,-73.84871368816499,2021
50056510,GINBO'S HAMBURGER HOUSE,Bronx,EAST  170 STREET,Hamburgers,2019-11-19,Critical,56.0,40.839304026837,-73.915333876768,2019
50070312,LOUIE & ERNIE'S,Bronx,CROSBY AVENUE,Pizza,2018-09-13,Critical,7.0,40.838139984753,-73.82880944672401,2018
50016922,MB RESTAURANT,Bronx,WEBSTER AVENUE,African,2021-07-19,Not Critical,13.0,40.865845029425,-73.88607594874401,2021
41426289,GEORGINA RESTAURANT,Bronx,EAST  163 STREET,Latin American,2017-05-04,Critical,7.0,40.820978117731,-73.893155134446,2017
50004682,I LOVE PIZZA,Bronx,3 AVENUE,Pizza,2018-12-19,Not Critical,7.0,40.821013679003,-73.91247764104999,2018
50016943,EL NUEVO ROBLE BILLIARDS,Bronx,EAST  170 STREET,Spanish,2018-06-22,Critical,24.0,40.838388239325,-73.912938970307,2018
50084872,FU XING,Bronx,MORRISON AVENUE,Chinese,2019-07-29,Critical,47.0,40.831329469463,-73.875030657296,2019
40989507,AMC THEATRES,Bronx,BARTOW AVENUE,American,2017-11-03,Not Critical,11.0,40.869142918784,-73.82410126066,2017
50056609,HUNG HING CHINESE RESTAURANT,Bronx,BEDFORD PARK BOULEVARD,Chinese,2019-03-25,Critical,7.0,40.871137441597,-73.886656218497,2019
50049482,SUBWAY,Bronx,WEST KINGSBRIDGE ROAD,Sandwiches,2019-04-26,Not Critical,9.0,40.867778465983,-73.899048997728,2019
50074433,VISTAMAR RESTAURANT,Bronx,CITY ISLAND AVENUE,Latin American,2020-02-15,Critical,37.0,40.85373766697,-73.790307294375,2020
50079485,CARIDAD SEAFOOD RESTAURANT,Bronx,EAST TREMONT AVENUE,Latin American,2022-02-23,Critical,26.0,40.847589466336004,-73.90048579364199,2022
50090029,HECTOR & MARCO PIZZERIA,Bronx,EAST TREMONT AVENUE,Mexican,2019-06-19,Not Critical,11.0,40.842672840563004,-73.85143365684,2019
50107224,EMERGENCY KITCHEN & BAR,Bronx,JESUP AVENUE,Latin American,2021-12-27,Critical,19.0,40.840631154326,-73.921187045504,2021
40388269,WHITE CASTLE,Bronx,BOSTON ROAD,Hamburgers,2020-02-11,Not Critical,8.0,40.880015785102,-73.841781248013,2020
40388269,WHITE CASTLE,Bronx,BOSTON ROAD,Hamburgers,2020-02-11,Not Critical,8.0,40.880015785102,-73.841781248013,2020
41459947,DUNKIN,Bronx,BRUCKNER BOULEVARD,Donuts,2018-09-28,Not Critical,7.0,40.804629102509,-73.922270137837,2018
50035745,HAPPY LAND,Bronx,JEROME AVENUE,Chinese,2017-07-27,Not Critical,19.0,40.853288147956,-73.907800828988,2017
50075543,FOO HING KITCHEN,Bronx,3 AVENUE,Chinese,2018-03-23,Critical,47.0,40.813670229536,-73.922169221528,2018
41678734,TINY'S DINER,Bronx,RIVERDALE AVENUE,American,2019-09-23,Critical,24.0,40.886690890724,-73.90705631531999,2019
50086261,EL MANGU RESTAURANT,Bronx,WEST KINGSBRIDGE ROAD,Latin American,2019-01-22,Not Critical,10.0,40.868117281311,-73.900440492835,2019
50072027,WENDY'S,Bronx,EAST  149 STREET,Sandwiches,2018-08-27,Critical,5.0,40.816253141386,-73.918369152465,2018
50046314,KENNEDY FRIED CHICKEN,Bronx,EAST  152 STREET,Chicken,2019-05-23,Not Critical,12.0,40.818759413403,-73.918821294378,2019
50046042,LA CANTINA,Bronx,ARTHUR AVENUE,Bottled Beverages,2018-03-24,Critical,12.0,40.857009988793,-73.88632973131,2018
50051282,MUNCHIES,Bronx,EAST TREMONT AVENUE,Hamburgers,2019-12-06,Critical,27.0,40.84770827191,-73.901392854841,2019
41505347,WHITE CROSS FISHING CLUB BAR & GRILL,Bronx,CLARENCE AVENUE,American,2017-07-18,Not Critical,10.0,40.830418029296,-73.81574829402099,2017
50046567,PRINCE COFFEE HOUSE,Bronx,ARTHUR AVENUE,Coffee/Tea,2018-07-26,Not Critical,21.0,40.853645002001,-73.889198445679,2018
50046567,PRINCE COFFEE HOUSE,Bronx,ARTHUR AVENUE,Coffee/Tea,2018-07-26,Not Critical,21.0,40.853645002001,-73.889198445679,2018
50012283,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Bronx,WHITE PLAINS ROAD,Caribbean,2017-11-28,Not Critical,12.0,40.865742587404,-73.867337062165,2017
50085140,SOLIMAR GRILL,Bronx,BEACH AVENUE,Spanish,2019-06-24,Critical,58.0,40.837114811621,-73.86718114623,2019
50071711,DARY'S RESTAURANT BAR,Bronx,E 180TH ST,Latin American,2018-04-04,Not Critical,12.0,40.850880449789,-73.894386511131,2018
50086374,FRESH JUICE AND MEXICAN FOOD,Bronx,BROOK AVENUE,Mexican,2021-07-19,Not Critical,53.0,40.808005583798,-73.918939218667,2021
50086524,STOP & GO DELI,Bronx,WESTCHESTER SQ,Sandwiches,2019-07-16,Critical,13.0,40.840097589963996,-73.842671651104,2019
50012902,NEW MING LIANG KITCHEN,Bronx,EAST GUN HILL ROAD,Chinese,2017-03-27,Critical,35.0,40.880104972011,-73.8764900033,2017
50039447,CHINA HOUSE,Bronx,E 174TH STEET,Chinese,2018-10-03,Critical,25.0,0.0,0.0,2018
41380710,POPEYES,Bronx,GRAND CONCOURSE,Chicken,2019-05-16,Not Critical,13.0,40.819050413643,-73.927090950871,2019
50093702,VALBONA CAFE,Bronx,VILLA AVENUE,Coffee/Tea,2019-07-15,Critical,12.0,40.876580455433995,-73.88687833297,2019
50077888,EL JOBO SEAFOOD RESTAURANT,Bronx,E 233RD ST,Spanish,2019-08-23,Critical,23.0,40.892802372835,-73.855553034694,2019
41176438,LAS CAMELIAS BAR & RESTAURANT,Bronx,WESTCHESTER AVENUE,Latin American,2016-10-08,Critical,17.0,40.831920561212,-73.866147212835,2016
50108060,KRAZY SNACK,Bronx,EAST  173 STREET,Latin American,2021-11-18,Not Critical,38.0,40.835644447480995,-73.88861057261799,2021
50108060,KRAZY SNACK,Bronx,EAST  173 STREET,Latin American,2021-11-18,Not Critical,38.0,40.835644447480995,-73.88861057261799,2021
41183397,DISTRIBUIDORA SAN MARCOS,Bronx,INTERVALE AVENUE,Mexican,2017-12-27,Not Critical,9.0,40.822318217131,-73.896885323625,2017
50000983,SABROSURA 2 RESTAURANT,Bronx,WESTCHESTER AVENUE,Chinese/Cuban,2019-04-02,Not Critical,55.0,40.831958823223,-73.866006203466,2019
50081150,IRIE CORNER DUMPLIN SHOP,Bronx,BAYCHESTER AVENUE,Caribbean,2019-09-25,Not Critical,35.0,40.880238583575,-73.838178901316,2019
50000589,EL NUEVO BOHIO RESTAURANT,Bronx,EAST TREMONT AVENUE,Latin American,2019-11-07,Critical,16.0,40.843990836686004,-73.888238727429,2019
50005071,THE PIZZA BLOCK,Bronx,RIVERDALE AVENUE,Jewish/Kosher,2019-03-18,Critical,41.0,40.906340774536,-73.904246716497,2019
50070665,HIBACHI BUFFET,Bronx,EAST  161 STREET,Chinese,2020-03-16,Critical,29.0,40.826193323314,-73.92045986696,2020
40395921,GOLDEN PIZZA,Bronx,EAST  138 STREET,Pizza,2021-07-19,Critical,25.0,40.80764089873,-73.919459837946,2021
40986189,LIEBMAN'S DELI,Bronx,WEST  235 STREET,Jewish/Kosher,2018-10-12,Not Critical,,40.885578578669,-73.90962202246,2018
50077477,KENNEDY FRIED CHICKEN & PIZZA,Bronx,JEROME AVENUE,Chicken,2018-08-20,Not Critical,21.0,40.863451331073996,-73.900545119768,2018
50001168,CHINA KING,Bronx,EAST  233 STREET,Chinese,2019-02-14,Critical,18.0,40.888626926747,-73.842462321109,2019
41659018,BAR & RESTAURANT EL SALVADORENO,Bronx,MORRIS PK AVE,Latin American,2019-10-10,Not Critical,34.0,0.0,0.0,2019
50062979,EL CARBONCITO RESTAURANT,Bronx,WATSON AVENUE,Mexican,2019-10-31,Not Critical,19.0,40.826052090735004,-73.878296209043,2019
41511660,EL ECONOMICO RESTAURANT,Bronx,BROADWAY,Latin American,2019-09-17,Critical,25.0,40.879176582016,-73.904615064772,2019
40608422,BEDFORD CAFE & RESTAURANT,Bronx,EAST BEDFORD PARK BOULEVARD,American,2020-03-12,Not Critical,8.0,40.873289094236,-73.889252366613,2020
40608422,BEDFORD CAFE & RESTAURANT,Bronx,EAST BEDFORD PARK BOULEVARD,American,2020-03-12,Not Critical,8.0,40.873289094236,-73.889252366613,2020
50102072,JERRY'S HAMBURGER PLACE,Bronx,EAST  146 STREET,Hamburgers,2021-09-15,Not Critical,12.0,40.813232875208,-73.916909760073,2021
50047794,PARILLA LATINA,Bronx,BROADWAY,Latin American,2019-11-07,Critical,13.0,40.877517014856,-73.905818008959,2019
41641101,SIRENAS,Bronx,JEROME AVENUE,Tex-Mex,2019-08-13,Critical,40.0,40.850090021590006,-73.910628305122,2019
41495866,SUBWAY,Bronx,LONGWOOD AVENUE,Sandwiches,2020-02-11,Critical,9.0,40.816438579599,-73.896446482159,2020
41351700,CARVEL,Bronx,WILLIAMSBRIDGE ROAD,Frozen Desserts,2018-03-27,Not Critical,9.0,40.854762292409,-73.854855151766,2018
50037060,LA CASA DEL SABOR,Bronx,EAST TREMONT AVENUE,Latin American,2017-03-23,Critical,36.0,40.842351413792,-73.84497939580599,2017
50112702,HEALTHY FRESH 4,Bronx,EAST TREMONT AVENUE,"Juice, Smoothies, Fruit Salads",2021-12-13,Not Critical,13.0,40.83252003772,-73.827833815076,2021
50046238,DARDANIA QEBABTORE EUROPE AND GRILL,Bronx,MACE AVENUE,Eastern European,2016-09-14,Critical,29.0,40.863047405475,-73.85826072645,2016
41713504,ISIS RESTAURANT,Bronx,ALLERTON AVENUE,Mexican,2018-03-08,Not Critical,30.0,40.865466212956,-73.865699807136,2018
50046464,NEW LUCKY HOUSE RESTAURANT,Bronx,EAST  167 STREET,Chinese,2017-08-10,Critical,9.0,40.834078937625,-73.91655477383,2017
41529658,DE LILLO PASTRY SHOP,Bronx,EAST  187 STREET,Bakery Products/Desserts,2016-09-20,Critical,42.0,40.855350279053,-73.887196544203,2016
50056800,RULAY LOUNGE BAR & RESTAURANT,Bronx,WEBSTER AVENUE,Spanish,2017-06-15,Not Critical,,40.867612345474,-73.883053893875,2017
50071282,GOTTA GETTA PIZZA,Bronx,TOWNSEND AVENUE,Pizza,2018-01-29,Not Critical,12.0,40.84709355383,-73.911640782701,2018
50039107,HEALTHY FRESH,Bronx,MORRIS PARK AVENUE,American,2016-12-28,Critical,17.0,40.848619894743,-73.855110781538,2016
50065408,VILLA PIZZA,Bronx,VILLA AVENUE,Pizza,2018-07-16,Critical,29.0,40.875565355584,-73.887335685337,2018
50083196,EL CAPITAN,Bronx,EAST  182 STREET,Seafood,2019-12-18,Critical,5.0,40.851253779395,-73.888620478562,2019
41649164,DONG KING,Bronx,WEST  165 STREET,Chinese,2017-02-06,Critical,12.0,40.833940657613,-73.927125163086,2017
50048064,JES CATERING,Bronx,EAST GUN HILL ROAD,Caribbean,2016-12-15,Not Critical,16.0,40.869463049846,-73.84434105301,2016
50082531,KENNEDY FRIED CHICKEN,Bronx,OGDEN AVENUE,Chicken,2018-10-16,Critical,27.0,40.838249389344,-73.926328962708,2018
50004304,OASIS COFFEE SHOP,Bronx,TIFFANY STREET,Other,2019-01-28,Not Critical,5.0,40.807615972044,-73.889492105309,2019
50004304,OASIS COFFEE SHOP,Bronx,TIFFANY STREET,Other,2019-01-28,Not Critical,5.0,40.807615972044,-73.889492105309,2019
41691159,GRAND CAFE,Bronx,GRAND CONCOURSE,American,2019-05-22,Critical,55.0,40.843462413239,-73.911829952069,2019
50051282,MUNCHIES,Bronx,EAST TREMONT AVENUE,Hamburgers,2017-09-11,Critical,33.0,40.84770827191,-73.901392854841,2017
40399778,MCDONALD'S,Bronx,GRAND CONCOURSE,Hamburgers,2019-03-25,Not Critical,9.0,40.819854381506,-73.92671070366801,2019
40979519,CLUB W,Bronx,HUNTS POINT AVENUE,American,2018-04-05,Critical,27.0,40.813877999164,-73.885178993205,2018
40989507,AMC THEATRES,Bronx,BARTOW AVENUE,American,2017-12-07,Critical,21.0,40.869142918784,-73.82410126066,2017
50054551,"BURGER KING, POPEYES",Bronx,EAST FORDHAM ROAD,Hamburgers,2017-11-29,Critical,26.0,40.862358037522,-73.896428934495,2017
50069432,ACAPELLA 238 PIZZERIA,Bronx,WEST  238 STREET,Pizza,2017-10-11,Not Critical,13.0,40.883301500609996,-73.89775958063301,2017
50016943,EL NUEVO ROBLE BILLIARDS,Bronx,EAST  170 STREET,Spanish,2019-01-03,Not Critical,11.0,40.838388239325,-73.912938970307,2019
50005347,COLD CUT CITY BUNNY DELI 2,Bronx,WEST  231 STREET,American,2022-01-26,Critical,45.0,40.879331136901,-73.90564546661601,2022
50005347,COLD CUT CITY BUNNY DELI 2,Bronx,WEST  231 STREET,American,2022-01-26,Critical,45.0,40.879331136901,-73.90564546661601,2022
50051817,DUNKIN,Bronx,GRAND CONCOURSE,Donuts,2017-05-24,Not Critical,12.0,40.819025717847,-73.927101816839,2017
50098691,SKYLINE BAR & LOUNGE,Bronx,WILKINSON AVENUE,American,2020-01-21,Critical,7.0,40.852781006593,-73.84265599364001,2020
50079121,FORDHAM SEAFOOD & CHICKEN,Bronx,GRAND CONCOURSE,Chicken,2018-08-02,Critical,45.0,40.861667367421,-73.897547130305,2018
50001029,EL VIEJO GRAN CAFE,Bronx,EAST  138 STREET,Spanish,2019-05-01,Critical,24.0,40.807715128309,-73.919633139112,2019
50058345,KING'S CHEF CHINESE RESTAURANT,Bronx,PROSPECT AVENUE,Chinese,2018-04-18,Critical,9.0,40.825847145505,-73.899062272294,2018
41384237,CHICANITO,Bronx,EAST  153 STREET,Mexican,2018-05-30,Critical,31.0,40.818691333434,-73.915757623566,2018
50038177,EATING TREE,Bronx,GERARD AVENUE,Caribbean,2019-05-07,Not Critical,10.0,40.828024124063,-73.924616723504,2019
50103169,HOLLYWOOD DELIGHTS,Bronx,WHITE PLAINS ROAD,Caribbean,2020-03-04,Not Critical,37.0,40.889409374466,-73.859564210285,2020
50072027,WENDY'S,Bronx,EAST  149 STREET,Sandwiches,2021-08-24,Not Critical,12.0,40.816253141386,-73.918369152465,2021
41384237,CHICANITO,Bronx,EAST  153 STREET,Mexican,2018-05-30,Critical,31.0,40.818691333434,-73.915757623566,2018
50034893,M & J FLOW LOUNGE,Bronx,EAST  149 STREET,Spanish,2019-07-05,Not Critical,,40.811171943239,-73.903354599653,2019
50052988,NYBG-HUDSON GARDEN GRILL-DAVID EDWARDS,Bronx,SOUTHERN BOULEVARD,American,2017-02-08,Critical,14.0,40.865677571305,-73.88331039318001,2017
50073523,LECHONERA POLLO SABROSO DEL VALLE,Bronx,EAST  174 STREET,Spanish,2018-03-22,Critical,12.0,40.837290271277,-73.887563379774,2018
50107204,MUSCLE MAKER GRILL,Bronx,EAST TREMONT AVENUE,Sandwiches/Salads/Mixed Buffet,2021-12-13,Not Critical,11.0,40.819507709017,-73.81749839145999,2021
50032889,SHUN YUEN CHINESE RESTAURANT,Bronx,EAST  194 STREET,Chinese,2017-06-14,Critical,22.0,40.865168310238,-73.89306939999099,2017
50052884,PINE TREE CAFE,Bronx,SOUTHERN BOULEVARD,American,2016-10-05,Critical,35.0,40.865677571305,-73.88331039318001,2016
50070029,LA COCINA DE YALA,Bronx,EAST  174 STREET,Latin American,2018-09-27,Critical,9.0,40.834775870655996,-73.86920594604399,2018
50042702,THE CORNER PIZZA SHOP,Bronx,JEROME AVENUE,Pizza,2018-02-07,Critical,12.0,40.880513305741,-73.883783302571,2018
41597770,INTERNATIONAL CATERERS,Bronx,AMPERE AVENUE,American,2018-11-29,Critical,10.0,40.846178160017,-73.819087571768,2018
50016943,EL NUEVO ROBLE BILLIARDS,Bronx,EAST  170 STREET,Spanish,2019-06-08,Critical,22.0,40.838388239325,-73.912938970307,2019
41257592,COUNTRY THYME CUISINE,Bronx,EAST  222 STREET,Caribbean,2019-02-11,Critical,21.0,40.876763075937,-73.83769560439299,2019
50069935,TONYS PIZZERIA,Bronx,EAST KINGSBRIDGE ROAD,Pizza,2018-11-28,Critical,18.0,40.866927703743,-73.896085543786,2018
50002368,CARIBE RESTAURANT,Bronx,CASTLE HILL AVENUE,Spanish,2019-01-03,Not Critical,35.0,40.824439486656,-73.849302968904,2019
50038177,EATING TREE,Bronx,GERARD AVENUE,Caribbean,2020-01-07,Not Critical,11.0,40.828024124063,-73.924616723504,2020
50073724,COM TAM NINH KIEU,Bronx,JEROME AVENUE,Southeast Asian,2019-10-07,Critical,35.0,40.866836009551,-73.897900690889,2019
40839264,AUGIES DELI & PIZZERIA,Bronx,CITY ISLAND AVENUE,Sandwiches,2018-04-11,Critical,15.0,40.852520128137996,-73.789421913931,2018
50057973,PAPAYE DINER,Bronx,GRAND CONCOURSE,African,2018-02-21,Critical,10.0,40.857601690867,-73.899834507873,2018
50042574,CARIDAD EXPRESS RESTAURANT,Bronx,EAST  138 STREET,Latin American,2018-02-07,Critical,25.0,40.804927148797,-73.913037087895,2018
41436831,GREEK EXPRESS,Bronx,RIVERDALE AVENUE,Greek,2018-04-10,Not Critical,13.0,40.887580354978,-73.907272067544,2018
50019243,BUFFALO WILD WINGS,Bronx,WEST  237 STREET,Chicken,2017-06-01,Critical,9.0,40.884248201934,-73.900629616014,2017
50036714,SMASHBURGER,Bronx,WEST  237 STREET,American,2017-07-19,Not Critical,12.0,40.884248201934,-73.900629616014,2017
50036714,SMASHBURGER,Bronx,WEST  237 STREET,American,2017-07-19,Not Critical,12.0,40.884248201934,-73.900629616014,2017
41380708,BURGER KING,Bronx,GRAND CONCOURSE,Hamburgers,2019-05-09,Critical,22.0,40.819050413643,-73.927090950871,2019
50067278,MOFONGO EL MOCANO RESTAURANT AND LOUNGE,Bronx,MORRIS AVENUE,Latin American,2018-12-05,Not Critical,,40.828499097923,-73.91685448812899,2018
50043155,JUICE RITE,Bronx,BUHRE AVENUE,"Juice, Smoothies, Fruit Salads",2018-11-09,Not Critical,28.0,40.8474916988,-73.830921452111,2018
41247493,MY PLACE FAMILY PIZZA,Bronx,EAST  198 STREET,Pizza,2017-08-03,Critical,43.0,40.869306788352,-73.889559125976,2017
50089419,KENNEDY FRIED CHICKEN,Bronx,WESTCHESTER AVENUE,Chicken,2019-08-19,Critical,12.0,40.831822145991,-73.866487093377,2019
50067278,MOFONGO EL MOCANO RESTAURANT AND LOUNGE,Bronx,MORRIS AVENUE,Latin American,2017-09-30,Not Critical,11.0,40.828499097923,-73.91685448812899,2017
50038278,TACO REY RESTAURANT #2,Bronx,HUGHES AVENUE,Tex-Mex,2019-01-30,Not Critical,10.0,40.853772911387,-73.88807040421,2019
50008239,NEW YORK YANKEES MVP CLUB,Bronx,EAST  161 STREET,American,2018-08-16,Not Critical,13.0,40.829028434834,-73.928496459645,2018
41348028,STOP AT THE STOP SWEET POT RESTAURANT & COCKTAIL,Bronx,EAST  233 STREET,Caribbean,2019-10-30,Critical,17.0,40.891341694648,-73.850872354936,2019
50108879,FAMILY PIZZA,Bronx,JEROME AVENUE,,1900-01-01,Not Applicable,,40.860982583185,-73.902305825089,1900
50042418,CHILPANCINGO RESTAURANT,Bronx,EAST  204 STREET,Mexican,2018-12-24,Not Critical,10.0,40.871635642701,-73.877330199442,2018
50044258,POPEYES,Bronx,Concourse Plaza,Chicken,2019-05-22,Not Critical,3.0,0.0,0.0,2019
50044258,POPEYES,Bronx,Concourse Plaza,Chicken,2019-05-22,Not Critical,3.0,0.0,0.0,2019
50065078,MADE IN PUERTO RICO,Bronx,EAST TREMONT AVENUE,Latin American,2018-06-06,Critical,50.0,40.834440736382,-73.829256269387,2018
40397219,WHITE CASTLE,Bronx,WESTCHESTER AVENUE,Hamburgers,2022-02-09,Not Critical,4.0,40.821860285623,-73.897377416365,2022
40995117,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Bronx,WHITE PLAINS ROAD,Caribbean,2019-08-01,Critical,12.0,40.903702975116,-73.850146322471,2019
50045972,CROWN CHICKEN BURGER & PIZZA,Bronx,EAST GUN HILL ROAD,Chicken,2019-04-11,Critical,12.0,40.878814163531,-73.873245063337,2019
41598329,BOSTON ROAD CHINA,Bronx,BOSTON ROAD,Chinese,2019-12-12,Critical,21.0,40.876803402507,-73.84709011214599,2019
50094094,Jaida's Sweet Stop,Bronx,VAN NEST AVENUE,Bakery Products/Desserts,2019-07-18,Critical,10.0,40.843987304522,-73.864543390233,2019
41720851,BRAVO CAFE,Bronx,UNIONPORT ROAD,American,2020-02-01,Not Critical,19.0,40.834865243362,-73.854508435853,2020
50002512,WING LING,Bronx,EAST  170 STREET,Chinese,2018-03-20,Not Critical,,40.839097733407,-73.914741439361,2018
41166704,MAESTRO CATERERS,Bronx,BRONXDALE AVENUE,American,2019-03-30,Not Critical,13.0,40.845391098227,-73.858728603557,2019
50052226,LITTLE NEGRIL JAMAICAN CUISINE,Bronx,BOSTON ROAD,Caribbean,2019-06-18,Critical,31.0,40.876579180186,-73.847727059736,2019
50003104,BEDFORD PIZZA CAFE,Bronx,BEDFORD PARK BOULEVARD,Pizza,2019-11-26,Not Critical,12.0,40.86772311622,-73.884022677369,2019
40849313,PEACOCK RESTAURANT,Bronx,WEST  183 STREET,Chinese,2017-08-29,Critical,18.0,40.85920188006,-73.906357393585,2017
50072568,GOOD TASTE,Bronx,CRESTON AVENUE,Asian/Asian Fusion,2019-10-01,Critical,11.0,40.861446181334,-73.898830886165,2019
41413315,GEORGE'S DINER-CAFE,Bronx,WESTCHESTER AVENUE,American,2017-08-24,Not Critical,11.0,40.836647621084,-73.846861124044,2017
41569081,VIDAELVA,Bronx,CROSS BRONX EXPRESSWAY,Mexican,2018-02-01,Not Critical,7.0,40.831818518852,-73.85664355577599,2018
40699339,NICK GARDEN COFFEE SHOP,Bronx,WEBSTER AVENUE,Coffee/Tea,2021-07-30,Not Critical,31.0,40.867590420776,-73.883086472857,2021
50076475,NEEROB RESTAURANT,Bronx,STARLING AVENUE,Bangladeshi,2018-08-08,Critical,14.0,40.836010724097,-73.855239535837,2018
50076475,NEEROB RESTAURANT,Bronx,STARLING AVENUE,Bangladeshi,2018-08-08,Critical,14.0,40.836010724097,-73.855239535837,2018
50063156,"TWIN DONUT, BLIMPIES",Bronx,EAST  161 STREET,Bagels/Pretzels,2019-05-08,Critical,38.0,40.826424451379,-73.921287044249,2019
40388253,THE PIZZA PLACE,Bronx,METROPOLITAN AVENUE,Pizza,2022-03-10,Not Critical,12.0,40.840465776277,-73.855508090564,2022
50003103,THE AVENUE,Bronx,KATONAH AVENUE,Irish,2019-08-02,Critical,25.0,40.900469293516004,-73.86771965407,2019
41611347,ANDY'S TERIYAKI & TACO,Bronx,EINSTEIN LOOP,Tex-Mex,2017-02-13,Critical,7.0,40.864360337243,-73.823282414276,2017
50105209,ANTOJITOS DEL MANGU RESTAURANT,Bronx,WEST KINGSBRIDGE ROAD,Latin American,2021-11-29,Critical,30.0,40.868117281311,-73.900440492835,2021
50007857,DON PANCHOLO LECHONERA RESTAURANT,Bronx,JEROME AVENUE,Latin American,2017-06-14,Not Critical,7.0,40.853455472048005,-73.907670462857,2017
50045367,TAQUERIA LUPITA II,Bronx,EAST TREMONT AVENUE,Mexican,2019-05-02,Not Critical,8.0,40.839836562594,-73.868671917555,2019
41127492,ECUA VILLA COFFEE SHOP,Bronx,EAST  170 STREET,Coffee/Tea,2021-10-27,Not Critical,33.0,40.837282645455,-73.910070961146,2021
50053046,"DUNKIN',' BASKIN ROBBINS",Bronx,WILLIAMSBRIDGE ROAD,American,2019-10-22,Critical,19.0,40.856080808768,-73.855683704045,2019
50091361,VICNAT DINER,Bronx,OGDEN AVENUE,Spanish,2019-08-12,Critical,52.0,40.831502475545,-73.930170508221,2019
50051817,DUNKIN,Bronx,GRAND CONCOURSE,Donuts,2019-11-01,Critical,10.0,40.819025717847,-73.927101816839,2019
41128245,EL VALLE RESTAURANT,Bronx,JEROME AVENUE,Latin American,2017-11-30,Not Critical,22.0,40.862260901034006,-73.901454345806,2017
50083745,EMPANADAS ON THE HILL,Bronx,EAST GUN HILL ROAD,Latin American,2019-11-19,Not Critical,7.0,40.878797371887,-73.872952183384,2019
40398642,LA LECHONERA CRIOLLA,Bronx,WEBSTER AVENUE,Latin American,2018-10-03,Not Critical,13.0,40.843397963861,-73.903361814736,2018
41376704,MARIO'S ITALIAN PIZZERIA,Bronx,DYRE AVENUE,Pizza,2019-11-04,Critical,22.0,40.888248758972004,-73.831280331071,2019
40730301,ANGELICA'S BAKERY,Bronx,KATONAH AVENUE,Bakery Products/Desserts,2022-02-10,Critical,13.0,40.899168041281,-73.867497980473,2022
41480283,CONNIE'S DELI,Bronx,EAST  204 STREET,Mexican,2019-05-13,Critical,16.0,40.874209463046,-73.884571791873,2019
41640238,HONG KONG KITCHEN,Bronx,EAST  198 STREET,Chinese,2019-07-22,Not Critical,12.0,40.869779649389,-73.890361024185,2019
41098989,MCDONALD'S,Bronx,WEBSTER AVENUE,Hamburgers,2019-06-05,Critical,10.0,40.879116787462,-73.871407446387,2019
